,WM,WF,BM,BF,AM,AF,l(WM),l(WF),l(BM),l(BF),l(AM),l(AF),q(WM),q(WF),q(BM),q(BF),q(AM),q(AF)
1-,1,0,1,0,0,0,99999,100000,99999,100000,100000,100000,0.00001,0,0.00001,0,0,0
1 – 4,0,0,0,0,0,0,99999,100000,99999,100000,100000,100000,0,0,0,0,0,0
4 – 9,0,0,0,0,0,0,99999,100000,99999,100000,100000,100000,0,0,0,0,0,0
10 – 14,3,0,0,0,0,1,99996,100000,99999,100000,100000,99999,3.00003E-05,0,0,0,0,0.00001
15 – 19,36,12,0,1,0,1,99960,99988,99999,99999,100000,99998,0.000360014,0.00012,0,0.00001,0,1.00001E-05
20 – 24,92,26,9,2,0,0,99868,99962,99990,99997,100000,99998,0.000920368,0.000260031,9.00009E-05,2.00002E-05,0,0
25 – 29,160,51,16,4,6,2,99708,99911,99974,99993,99994,99996,0.001602115,0.000510194,0.000160016,4.00012E-05,0.00006,2.00004E-05
 30 – 34,298,82,24,14,8,3,99410,99829,99950,99979,99986,99993,0.002988727,0.00082073,0.000240062,0.00014001,8.00048E-05,3.00012E-05
35 – 39,607,238,52,24,16,2,98803,99591,99898,99955,99970,99991,0.006106026,0.002384077,0.00052026,0.00024005,0.000160022,2.00014E-05
40 – 44,1271,532,123,64,22,6,97532,99059,99775,99891,99948,99985,0.012863982,0.005341848,0.001231256,0.000640288,0.000220066,6.00054E-05
45 – 49,2286,87,245,114,33,10,95246,98972,99530,99777,99915,99975,0.023438461,0.000878264,0.002455525,0.001141244,0.000330172,0.000100015
50 – 54,2799,901,330,94,36,7,92447,98071,99200,99683,99879,99968,0.029387061,0.009103585,0.003315583,0.000942101,0.000360306,7.00175E-05
55 – 59,2548,711,319,93,30,5,89899,97360,98881,99590,99849,99963,0.027561738,0.00724985,0.003215726,0.000932957,0.000300363,5.0016E-05
60 – 64,1893,531,232,61,23,4,88006,96829,98649,99529,99826,99959,0.021056964,0.005453985,0.002346255,0.000612511,0.000230348,4.00148E-05
65 – 69,1223,345,157,31,9,3,86783,96484,98492,99498,99817,99956,0.01389678,0.003562982,0.001591501,0.000311467,9.01569E-05,3.00123E-05
70 – 74,806,229,105,18,7,2,85977,96255,98387,99480,99810,99954,0.009287533,0.002373451,0.001066076,0.000180908,7.01283E-05,2.00088E-05
75 – 79,556,179,60,7,6,4,85421,96076,98327,99473,99804,99950,0.006466846,0.001859644,0.000609837,7.03659E-05,6.01142E-05,4.00184E-05
80 – 84,287,111,17,8,5,2,85134,95965,98310,99465,99799,99948,0.00335983,0.001155335,0.000172892,8.04238E-05,5.00982E-05,2.001E-05
85 – 89,118,47,10,8,1,0,85016,95918,98300,99457,99798,99948,0.00138605,0.000489762,0.000101719,8.04303E-05,1.00201E-05,0
90 -94,34,18,2,1,1,1,84982,95900,98298,99456,99797,99947,0.000399925,0.00018766,2.03459E-05,1.00546E-05,1.00202E-05,1.00052E-05
95-99,4,4,0,1,0,0,84978,95896,98298,99455,99797,99947,4.70688E-05,4.17101E-05,0,1.00547E-05,0,0
100+,0,2,0,0,0,0,84978,95894,98298,99455,99797,99947,0,2.08559E-05,0,0,0,0
