,WM,WF,BM,BF,AM,AF,l(WM),l(WF),l(BM),l(BF),l(AM),l(AF),q(WM),q(WF),q(BM),q(BF),q(AM),q(AF)
1-,0,2,2,0,0,0,100000,99998,99998,100000,100000,100000,0,0.00002,0.00002,0,0,0
1 – 4,7,4,12,15,2,0,99993,99994,99986,99985,99998,100000,0.00007,4.00008E-05,0.000120002,0.00015,0.00002,0
4 – 9,12,9,17,7,2,0,99981,99985,99969,99978,99996,100000,0.000120008,9.00054E-05,0.000170024,7.00105E-05,2.00004E-05,0
10 – 14,15,9,23,11,0,0,99966,99976,99946,99967,99996,100000,0.000150029,9.00135E-05,0.000230071,0.000110024,0,0
15 – 19,21,12,15,9,2,0,99945,99964,99931,99958,99994,100000,0.000210071,0.000120029,0.000150081,9.00297E-05,2.00008E-05,0
20 – 24,24,11,26,10,0,1,99921,99953,99905,99948,99994,99999,0.000240132,0.00011004,0.00026018,0.000100042,0,0.00001
25 – 29,34,25,23,14,2,0,99887,99928,99882,99934,99992,99999,0.000340269,0.000250118,0.000230219,0.000140073,2.00012E-05,0
 30 – 34,30,27,27,14,2,1,99857,99901,99855,99920,99990,99998,0.000300339,0.000270195,0.000270319,0.000140092,2.00016E-05,1.00001E-05
35 – 39,27,48,24,24,3,2,99830,99853,99831,99896,99987,99996,0.000270387,0.000480476,0.000240349,0.000240192,3.0003E-05,2.00004E-05
40 – 44,46,66,31,42,1,3,99784,99787,99800,99854,99986,99993,0.000460783,0.000660972,0.000310525,0.000420437,1.00013E-05,3.00012E-05
45 – 49,61,88,35,69,4,3,99723,99699,99765,99785,99982,99990,0.00061132,0.000881878,0.000350701,0.000691009,4.00056E-05,3.00021E-05
50 – 54,66,96,36,64,2,4,99657,99603,99729,99721,99980,99986,0.000661833,0.000962898,0.000360848,0.000641379,2.00036E-05,4.0004E-05
55 – 59,62,85,36,50,1,2,99595,99518,99693,99671,99979,99984,0.000622134,0.000853388,0.000360978,0.000501399,1.0002E-05,2.00028E-05
60 – 64,55,93,30,29,1,4,99540,99425,99663,99642,99978,99980,0.000552237,0.000934504,0.000300924,0.000290957,1.00021E-05,4.00064E-05
65 – 69,50,101,22,24,1,4,99490,99324,99641,99618,99977,99976,0.000502311,0.001015841,0.000220744,0.000240862,1.00022E-05,4.0008E-05
70 – 74,41,105,15,33,0,0,99449,99219,99626,99585,99977,99976,0.000412102,0.001057146,0.00015054,0.000331265,0,0
75 – 79,56,152,13,18,0,0,99393,99067,99613,99567,99977,99976,0.000563103,0.001531965,0.000130488,0.00018075,0,0
80 – 84,74,180,12,23,0,2,99319,98887,99601,99544,99977,99974,0.000744519,0.001816952,0.000120466,0.000231,0,2.00048E-05
85 – 89,57,221,4,21,0,1,99262,98666,99597,99523,99977,99973,0.000573908,0.002234874,4.01602E-05,0.000210962,0,1.00026E-05
90 -94,36,169,1,11,0,0,99226,98497,99596,99512,99977,99973,0.000362677,0.001712849,1.00405E-05,0.000110527,0,0
95-99,13,67,2,7,1,0,99213,98430,99594,99505,99976,99973,0.000131014,0.000680224,2.00811E-05,7.03433E-05,1.00023E-05,0
100+,1,17,0,1,0,0,99212,98413,99594,99504,99976,99973,1.00793E-05,0.000172712,0,1.00497E-05,0,0
