,WM,WF,BM,BF,AM,AF,l(WM),l(WF),l(BM),l(BF),l(AM),l(AF),q(WM),q(WF),q(BM),q(BF),q(AM),q(AF)
1-,46,45,10,17,0,2,99954,99955,99990,99983,100000,99998,0.00046,0.00045,0.0001,0.00017,0,0.00002
1 – 4,232,169,59,58,9,6,99722,99786,99931,99925,99991,99992,0.002321068,0.001690761,0.000590059,0.000580099,0.00009,6.00E-05
4 – 9,231,173,57,40,4,5,99491,99613,99874,99885,99987,99987,0.00231644,0.00173371,0.000570394,0.0004003,4.00E-05,5.00E-05
10 – 14,373,233,74,52,14,7,99118,99380,99800,99833,99973,99980,0.003749083,0.002339052,0.000740934,0.000520599,0.000140018,7.00E-05
15 – 19,2623,1363,377,159,71,29,96495,98017,99423,99674,99902,99951,0.026463407,0.013715033,0.003777555,0.00159266,0.000710192,0.000290058
20 – 24,3777,1062,558,168,113,47,92718,96955,98865,99506,99789,99904,0.039141924,0.010834855,0.005612383,0.001685495,0.001131108,0.00047023
25 – 29,2552,780,462,120,51,26,90166,96175,98403,99386,99738,99878,0.027524321,0.008044969,0.004673039,0.001205957,0.000511078,0.00026025
 30 – 34,1797,577,385,101,41,16,88369,95598,98018,99285,99697,99862,0.019929907,0.00599948,0.003912482,0.00101624,0.000411077,0.000160195
35 – 39,1849,637,387,115,41,13,86520,94961,97631,99170,99656,99849,0.020923627,0.006663319,0.003948254,0.001158282,0.000411246,0.00013018
40 – 44,1958,730,348,99,33,23,84562,94231,97283,99071,99623,99826,0.022630606,0.007687366,0.003564442,0.000998286,0.000331139,0.000230348
45 – 49,2139,763,336,117,36,27,82423,93468,96947,98954,99587,99799,0.02529505,0.008097123,0.003453841,0.001180971,0.000361362,0.000270471
50 – 54,1883,677,297,101,35,23,80540,92791,96650,98853,99552,99776,0.022845565,0.007243121,0.00306353,0.001020676,0.000351451,0.000230463
55 – 59,1544,590,215,86,34,30,78996,92201,96435,98767,99518,99746,0.019170598,0.006358375,0.002224521,0.000869979,0.00034153,0.000300674
60 – 64,1068,504,143,53,19,21,77928,91697,96292,98714,99499,99725,0.013519672,0.005466318,0.001482864,0.000536616,0.00019092,0.000210535
65 – 69,876,429,99,42,23,20,77052,91268,96193,98672,99476,99705,0.011241146,0.004678452,0.001028123,0.000425472,0.000231158,0.000200552
70 – 74,793,441,85,48,25,27,76259,90827,96108,98624,99451,99678,0.010291751,0.004831924,0.00088364,0.00048646,0.000251317,0.000270799
75 – 79,819,509,72,32,24,19,75440,90318,96036,98592,99427,99659,0.010739716,0.00560406,0.000749157,0.000324465,0.000241325,0.000190614
80 – 84,695,538,48,29,23,18,74745,89780,95988,98563,99404,99641,0.009212619,0.005956731,0.000499813,0.000294142,0.000231325,0.000180616
85 – 89,480,370,31,12,14,8,74265,89410,95957,98551,99390,99633,0.006421834,0.004121185,0.000322957,0.00012175,0.000140839,8.03E-05
90 -94,135,140,13,10,5,4,74130,89270,95944,98541,99385,99629,0.001817815,0.00156582,0.000135477,0.00010147,5.03E-05,4.01E-05
95-99,20,20,2,2,2,3,74110,89250,95942,98539,99383,99626,0.000269796,0.000224039,2.08E-05,2.03E-05,2.01E-05,3.01E-05
100+,4,0,0,0,1,0,74106,89250,95942,98539,99382,99626,5.40E-05,0,0,0,1.01E-05,0
