,WM,WF,BM,BF,AM,AF,l(WM),l(WF),l(BM),l(BF),l(AM),l(AF),q(WM),q(WF),q(BM),q(BF),q(AM),q(AF)
1-,6,2,4,4,1,0,99994,99998,99996,99996,99999,100000,0.00006,0.00002,0.00004,0.00004,0.00001,0
1 – 4,12,5,5,10,0,0,99982,99993,99991,99986,99999,100000,0.000120007,5.0001E-05,5.0002E-05,0.000100004,0,0
4 – 9,3,4,3,1,0,0,99979,99989,99988,99985,99999,100000,3.00054E-05,4.00028E-05,3.00027E-05,1.00014E-05,0,0
10 – 14,32,20,8,3,1,3,99947,99969,99980,99982,99998,99997,0.000320067,0.000200022,8.00096E-05,3.00045E-05,1.00001E-05,0.00003
15 – 19,597,178,27,9,6,2,99350,99791,99953,99973,99992,99995,0.005973166,0.001780552,0.000270054,9.00162E-05,6.00012E-05,2.00006E-05
20 – 24,1675,478,77,39,14,6,97675,99313,99876,99934,99978,99989,0.016859587,0.004790011,0.000770362,0.000390105,0.000140011,6.0003E-05
25 – 29,2023,671,119,48,20,7,95652,98642,99757,99886,99958,99982,0.020711543,0.006756417,0.001191477,0.000480317,0.000200044,7.00077E-05
 30 – 34,1796,695,153,69,15,10,93856,97947,99604,99817,99943,99972,0.018776398,0.00704568,0.001533727,0.000690787,0.000150063,0.000100018
35 – 39,1966,969,215,120,19,7,91890,96978,99389,99697,99924,99965,0.020946983,0.009893105,0.002158548,0.0012022,0.000190108,7.00196E-05
40 – 44,2404,1311,268,169,17,15,89486,95667,99121,99528,99907,99950,0.026161715,0.01351853,0.002696475,0.001695136,0.000170129,0.000150053
45 – 49,2577,1651,385,227,18,8,86909,94016,98736,99301,99889,99942,0.028797801,0.01725778,0.003884142,0.002280765,0.000180168,8.004E-05
50 – 54,2072,1309,419,218,14,6,84837,92707,98317,99083,99875,99936,0.023841029,0.013923162,0.00424364,0.002195345,0.000140156,6.00348E-05
55 – 59,1070,691,281,107,16,8,83767,92016,98036,98976,99859,99928,0.012612421,0.00745359,0.002858102,0.001079903,0.0001602,8.00512E-05
60 – 64,421,343,99,44,3,0,83346,91673,97937,98932,99856,99928,0.005025846,0.003727613,0.001009833,0.000444552,3.00424E-05,0
65 – 69,169,134,49,15,0,1,83177,91539,97888,98917,99856,99927,0.002027692,0.001461717,0.000500322,0.000151619,0,1.00072E-05
70 – 74,112,84,20,12,0,2,83065,91455,97868,98905,99856,99925,0.001346526,0.000917642,0.000204315,0.000121314,0,2.00146E-05
75 – 79,65,102,10,11,0,1,83000,91353,97858,98894,99856,99924,0.00078252,0.001115303,0.000102178,0.000111218,0,1.00075E-05
80 – 84,71,77,4,7,2,2,82929,91276,97854,98887,99854,99922,0.000855422,0.000842884,4.08756E-05,7.07829E-05,2.00288E-05,2.00152E-05
85 – 89,40,69,2,7,0,1,82889,91207,97852,98880,99854,99921,0.00048234,0.000755949,2.04386E-05,7.07879E-05,0,1.00078E-05
90 -94,17,31,0,3,0,0,82872,91176,97852,98877,99854,99921,0.000205094,0.000339886,0,3.03398E-05,0,0
95-99,5,12,1,0,0,0,82867,91164,97851,98877,99854,99921,6.0334E-05,0.000131614,1.02195E-05,0,0,0
100+,0,2,0,0,0,0,82867,91162,97851,98877,99854,99921,0,2.19385E-05,0,0,0,0
