,WM,WF,BM,BF,AM,AF,l(WM),l(WF),l(BM),l(BF),l(AM),l(AF),q(WM),q(WF),q(BM),q(BF),q(AM),q(AF)
1-,0,0,0,0,0,0,100000,100000,100000,100000,100000,100000,0,0,0,0,0,0
1 – 4,0,0,0,0,0,0,100000,100000,100000,100000,100000,100000,0,0,0,0,0,0
4 – 9,0,0,0,0,0,0,100000,100000,100000,100000,100000,100000,0,0,0,0,0,0
10 – 14,0,1,0,1,0,0,100000,99999,100000,99999,100000,100000,0,0.00001,0,0.00001,0,0
15 – 19,0,19,0,9,0,1,100000,99980,100000,99990,100000,99999,0,0.000190002,0,9.00009E-05,0,0.00001
20 – 24,0,67,0,49,0,0,100000,99913,100000,99941,100000,99999,0,0.000670134,0,0.000490049,0,0
25 – 29,0,91,0,68,0,7,100000,99822,100000,99873,100000,99992,0,0.000910792,0,0.000680401,0,7.00007E-05
 30 – 34,0,102,0,50,0,11,100000,99720,100000,99823,100000,99981,0,0.001021819,0,0.000500636,0,0.000110009
35 – 39,0,98,0,51,0,11,100000,99622,100000,99772,100000,99970,0,0.000982752,0,0.000510904,0,0.000110021
40 – 44,0,39,0,10,0,4,100000,99583,100000,99762,100000,99966,0,0.00039148,0,0.000100229,0,4.0012E-05
45 – 49,0,26,0,13,0,1,100000,99557,100000,99749,100000,99965,0,0.000261089,0,0.00013031,0,1.00034E-05
50 – 54,0,19,0,5,0,0,100000,99538,100000,99744,100000,99965,0,0.000190845,0,5.01258E-05,0,0
55 – 59,0,2,0,0,0,0,100000,99536,100000,99744,100000,99965,0,2.00928E-05,0,0,0,0
60 – 64,0,0,0,0,0,0,100000,99536,100000,99744,100000,99965,0,0,0,0,0,0
65 – 69,0,1,0,0,0,0,100000,99535,100000,99744,100000,99965,0,1.00466E-05,0,0,0,0
70 – 74,0,0,0,0,0,0,100000,99535,100000,99744,100000,99965,0,0,0,0,0,0
75 – 79,0,0,0,0,0,0,100000,99535,100000,99744,100000,99965,0,0,0,0,0,0
80 – 84,0,0,0,0,0,0,100000,99535,100000,99744,100000,99965,0,0,0,0,0,0
85 – 89,0,0,0,0,0,0,100000,99535,100000,99744,100000,99965,0,0,0,0,0,0
90 -94,0,0,0,0,0,0,100000,99535,100000,99744,100000,99965,0,0,0,0,0,0
95-99,0,0,0,0,0,0,100000,99535,100000,99744,100000,99965,0,0,0,0,0,0
100+,0,0,0,0,0,0,100000,99535,100000,99744,100000,99965,0,0,0,0,0,0
