,WM,WF,BM,BF,AM,AF,l(WM),l(WF),l(BM),l(BF),l(AM),l(AF),q(WM),q(WF),q(BM),q(BF),q(AM),q(AF)
1-,19,20,10,6,1,0,99981,99980,99990,99994,99999,100000,0.00019,0.0002,0.0001,0.00006,0.00001,0
1 – 4,249,132,41,10,10,3,99732,99848,99949,99984,99989,99997,0.002490473,0.001320264,0.000410041,0.000100006,0.000100001,0.00003
4 – 9,58,25,17,14,6,1,99674,99823,99932,99970,99983,99996,0.000581559,0.000250381,0.000170087,0.000140022,6.00066E-05,1.00003E-05
10 – 14,39,13,29,11,5,3,99635,99810,99903,99959,99978,99993,0.000391276,0.000130231,0.000290197,0.000110033,5.00085E-05,3.00012E-05
15 – 19,187,31,71,7,13,2,99448,99779,99832,99952,99965,99991,0.001876851,0.00031059,0.000710689,7.00287E-05,0.000130029,2.00014E-05
20 – 24,217,26,47,4,9,3,99231,99753,99785,99948,99956,99988,0.002182045,0.000260576,0.000470791,4.00192E-05,9.00315E-05,3.00027E-05
25 – 29,132,19,35,4,14,1,99099,99734,99750,99944,99942,99987,0.001330229,0.00019047,0.000350754,4.00208E-05,0.000140062,1.00012E-05
 30 – 34,106,18,29,5,5,3,98993,99716,99721,99939,99937,99984,0.001069637,0.00018048,0.000290727,5.0028E-05,5.0029E-05,3.00039E-05
35 – 39,106,25,25,2,10,2,98887,99691,99696,99937,99927,99982,0.001070783,0.000250712,0.000250699,2.00122E-05,0.000100063,2.00032E-05
40 – 44,154,46,19,5,9,2,98733,99645,99677,99932,99918,99980,0.001557333,0.000461426,0.000190579,5.00315E-05,9.00657E-05,2.00036E-05
45 – 49,163,42,26,3,3,3,98570,99603,99651,99929,99915,99977,0.001650917,0.000421496,0.000260843,3.00204E-05,3.00246E-05,3.0006E-05
50 – 54,161,40,19,5,7,2,98409,99563,99632,99924,99908,99975,0.001633357,0.000401594,0.000190665,5.00355E-05,7.00596E-05,2.00046E-05
55 – 59,100,35,19,1,4,1,98309,99528,99613,99923,99904,99974,0.001016167,0.000351536,0.000190702,1.00076E-05,4.00368E-05,1.00025E-05
60 – 64,110,29,11,3,5,0,98199,99499,99602,99920,99899,99974,0.001118921,0.000291375,0.000110427,3.00231E-05,5.0048E-05,0
65 – 69,66,19,7,3,1,4,98133,99480,99595,99917,99898,99970,0.000672105,0.000190957,7.02797E-05,3.0024E-05,1.00101E-05,4.00104E-05
70 – 74,60,17,8,2,5,0,98073,99463,99587,99915,99893,99970,0.000611415,0.000170889,8.03253E-05,2.00166E-05,5.00511E-05,0
75 – 79,56,33,4,2,5,3,98017,99430,99583,99913,99888,99967,0.000571003,0.000331782,4.01659E-05,2.0017E-05,5.00536E-05,3.0009E-05
80 – 84,51,25,0,1,2,2,97966,99405,99583,99912,99886,99965,0.000520318,0.000251433,0,1.00087E-05,2.00224E-05,2.00066E-05
85 – 89,36,18,2,2,1,0,97930,99387,99581,99910,99885,99965,0.000367474,0.000181077,2.00837E-05,2.00176E-05,1.00114E-05,0
90 -94,14,7,0,2,0,1,97916,99380,99581,99908,99885,99964,0.000142959,7.04317E-05,0,2.0018E-05,0,1.00035E-05
95-99,1,3,0,0,0,0,97915,99377,99581,99908,99885,99964,1.02128E-05,3.01872E-05,0,0,0,0
100+,0,1,0,0,0,0,97915,99376,99581,99908,99885,99964,0,1.00627E-05,0,0,0,0
