,WM,WF,BM,BF,AM,AF,l(WM),l(WF),l(BM),l(BF),l(AM),l(AF),q(WM),q(WF),q(BM),q(BF),q(AM),q(AF)
1-,0,1,1,0,0,0,100000,99999,99999,100000,100000,100000,0,0.00001,0.00001,0,0,0
1 – 4,6,5,0,0,0,0,99994,99994,99999,100000,100000,100000,0.00006,5.00005E-05,0,0,0,0
4 – 9,9,4,2,2,0,2,99985,99990,99997,99998,100000,99998,9.00054E-05,4.00024E-05,2.00002E-05,0.00002,0,0.00002
10 – 14,8,6,1,1,1,0,99977,99984,99996,99997,99999,99998,8.0012E-05,6.0006E-05,1.00003E-05,1.00002E-05,0.00001,0
15 – 19,39,13,8,1,1,0,99938,99971,99988,99996,99998,99998,0.00039009,0.000130021,8.00032E-05,1.00003E-05,1.00001E-05,0
20 – 24,82,19,13,2,1,3,99856,99952,99975,99994,99997,99995,0.000820509,0.000190055,0.000130016,2.00008E-05,1.00002E-05,3.00006E-05
25 – 29,69,17,12,2,0,0,99787,99935,99963,99992,99997,99995,0.000690995,0.000170082,0.00012003,2.00012E-05,0,0
 30 – 34,85,24,7,3,4,1,99702,99911,99956,99989,99993,99994,0.000851814,0.000240156,7.00259E-05,3.00024E-05,4.00012E-05,1.00005E-05
35 – 39,106,16,6,1,2,0,99596,99895,99950,99988,99991,99994,0.001063168,0.000160143,6.00264E-05,1.00011E-05,2.00014E-05,0
40 – 44,106,24,10,2,1,2,99490,99871,99940,99986,99990,99992,0.0010643,0.000240252,0.00010005,2.00024E-05,1.00009E-05,2.00012E-05
45 – 49,158,25,25,1,1,0,99332,99846,99915,99985,99989,99992,0.001588099,0.000250323,0.00025015,1.00014E-05,1.0001E-05,0
50 – 54,152,43,17,2,3,0,99180,99803,99898,99983,99986,99992,0.001530222,0.000430663,0.000170145,2.0003E-05,3.00033E-05,0
55 – 59,146,29,15,4,3,0,99034,99774,99883,99979,99983,99992,0.001472071,0.000290572,0.000150153,4.00068E-05,3.00042E-05,0
60 – 64,114,23,11,3,0,1,98920,99751,99872,99976,99983,99991,0.00115112,0.000230521,0.000110129,3.00063E-05,0,1.00008E-05
65 – 69,64,12,7,1,1,0,98856,99739,99865,99975,99982,99991,0.000646987,0.0001203,7.00897E-05,1.00024E-05,1.00017E-05,0
70 – 74,63,13,9,0,0,0,98793,99726,99856,99975,99982,99991,0.000637291,0.00013034,9.01217E-05,0,0,0
75 – 79,33,6,4,0,1,0,98760,99720,99852,99975,99981,99991,0.000334032,6.01649E-05,4.00577E-05,0,1.00018E-05,0
80 – 84,24,7,1,0,1,0,98736,99713,99851,99975,99980,99991,0.000243013,7.01966E-05,1.00148E-05,0,1.00019E-05,0
85 – 89,18,4,0,0,0,1,98718,99709,99851,99975,99980,99990,0.000182304,4.01151E-05,0,0,0,1.00009E-05
90 -94,2,4,0,1,0,0,98716,99705,99851,99974,99980,99990,2.02597E-05,4.01167E-05,0,1.00025E-05,0,0
95-99,0,1,0,0,0,0,98716,99704,99851,99974,99980,99990,0,1.00296E-05,0,0,0,0
100+,0,0,0,0,0,0,98716,99704,99851,99974,99980,99990,0,0,0,0,0,0
